Category,Specification,Details
SOFTWARE SPECIFICATION FOR DEVELOPMENT,,
Operating System,"Windows 11, macOS, Linux",,
Development Tools,"GitHub, Figma, MySQL Workbench",,
Image Editing Tool,Figma,,
Code Editing Tools,"Visual Studio 2022, Visual Studio Code, JetBrains Rider",,
Web Browser,"Google Chrome, Mozilla Firefox, Microsoft Edge",,
Internet Connection,20 Mbps or higher,,
Database,MySQL 8.0+,,
Framework,.NET 8.0 SDK / ASP.NET Core 8.0,,
SOFTWARE SPECIFICATION FOR DEPLOYMENT,,
WEB APPLICATION,,
Operating System,"Windows 10+, macOS 10.15+, Linux, Android 6.0+, iOS 13+",,
Internet Connection,5 Mbps minimum (10 Mbps recommended),,
GPS,Location services enabled,,
Camera,Rear camera for bike photo uploads and ID document uploads,,
Web Browser,"Google Chrome 90+, Mozilla Firefox 88+, Microsoft Edge 90+, Safari 14+",,
CLOUD SERVER/HOSTING,,
Operating System,"Linux (Ubuntu 20.04+), Docker container support",,
Web Server,"Kestrel (ASP.NET Core), Nginx (reverse proxy)",,
Database Server,MySQL 8.0+,,
Runtime,.NET 8.0 Runtime,,
Cloud Platform,"Railway, AWS, Azure, Google Cloud Platform",,
